1029NOW,2015-04-08 22:45:01 +0000 UTC," Adele",Set Fire To The Rain
1029NOW,2015-04-08 23:10:01 +0000 UTC," American Authors",Best Day Of My Life
1029NOW,2015-04-08 23:10:01 +0000 UTC," Bruno Mars",It Will Rain
1029NOW,2015-04-08 23:20:01 +0000 UTC," Vance Joy",Riptide
1029NOW,2015-04-08 23:30:01 +0000 UTC," Lilly Wood / Robin Schulz",Prayer In C
1029NOW,2015-04-08 23:50:01 +0000 UTC," Of Monsters And Men",Little Talks
1029NOW,2015-04-08 23:50:01 +0000 UTC," Taylor Swift",Blank Space
1029NOW,2015-04-09 00:10:01 +0000 UTC," Pink",Perfect/
1029NOW,2015-04-09 00:10:01 +0000 UTC," Mark Ronson And Bruno Mars",Uptown Funk
1029NOW,2015-04-09 00:10:01 +0000 UTC," Sixpence None The Richer",Kiss Me
1029NOW,2015-04-09 00:10:01 +0000 UTC," Coldplay",Clocks
1029NOW,2015-04-09 00:20:01 +0000 UTC," Bastille",Pompeii
1029NOW,2015-04-09 00:20:01 +0000 UTC," Pitbull / Ne-Yo",Time Of Our Lives
1029NOW,2015-04-09 00:30:01 +0000 UTC," Who Is Fancy?",Goodbye
1029NOW,2015-04-09 00:40:01 +0000 UTC," Walk The Moon",Shut Up And Dance
1029NOW,2015-04-09 00:50:01 +0000 UTC," Milky Chance",Stolen Dance
1029NOW,2015-04-09 00:50:01 +0000 UTC," Taylor Swift",Style
1029NOW,2015-04-09 00:50:01 +0000 UTC," Justin Timberlake",Cry Me A River
1029NOW,2015-04-09 01:00:01 +0000 UTC," Bruno Mars",The Lazy Song
1029NOW,2015-04-09 01:00:01 +0000 UTC," Maroon 5",Sugar
1029NOW,2015-04-09 01:10:01 +0000 UTC," Foster The People",Pumped Up Kicks
1029NOW,2015-04-09 01:10:01 +0000 UTC," Katy Perry",Dark Horse
1029NOW,2015-04-09 01:20:01 +0000 UTC," Ed Sheeran",Don't
1029NOW,2015-04-09 01:30:01 +0000 UTC," Veronicas",You Ruin Me
1029NOW,2015-04-09 01:40:01 +0000 UTC," Ed Sheeran",Thinking Out Loud
1029NOW,2015-04-09 01:40:01 +0000 UTC," Meghan Trainor",Lips Are Movin'
1029NOW,2015-04-09 01:40:01 +0000 UTC," Travie McCoy / Bruno Mars",Billionaire
1029NOW,2015-04-09 01:50:01 +0000 UTC," Lilly Wood / Robin Schulz",Prayer In C
1029NOW,2015-04-09 02:10:01 +0000 UTC," Killers",Somebody Told Me
1029NOW,2015-04-09 02:10:01 +0000 UTC," Maroon 5",Sugar
1029NOW,2015-04-09 02:10:01 +0000 UTC," Green Day",Good Riddance
1029NOW,2015-04-09 02:20:01 +0000 UTC," Ellie Goulding",Love Me Like You Do
1029NOW,2015-04-09 02:30:01 +0000 UTC," Jason Derulo",Want To Want Me
1029NOW,2015-04-09 02:30:01 +0000 UTC," Ariana Grande",One Last Time
1029NOW,2015-04-09 02:30:01 +0000 UTC," Vance Joy",Riptide
1029NOW,2015-04-09 02:30:01 +0000 UTC," Taylor Swift",Shake It Off
1029NOW,2015-04-09 02:40:01 +0000 UTC," Fall Out Boy","Sugar, We're Goin Down"
1029NOW,2015-04-09 02:40:01 +0000 UTC," Paramore",Still Into You
1029NOW,2015-04-09 02:50:01 +0000 UTC," Maroon 5",Animals
1029NOW,2015-04-09 02:50:01 +0000 UTC," Pitbull / Ne-Yo",Time Of Our Lives
1029NOW,2015-04-09 03:00:01 +0000 UTC," Alanis Morissette",Ironic
1029NOW,2015-04-09 03:00:01 +0000 UTC," Lumineers",Ho Hey
1029NOW,2015-04-09 03:00:01 +0000 UTC," Ed Sheeran",Thinking Out Loud
1029NOW,2015-04-09 03:20:01 +0000 UTC," Maroon 5",Sugar
1029NOW,2015-04-09 03:30:01 +0000 UTC," Weeknd",Earned It
1029NOW,2015-04-09 03:30:01 +0000 UTC," Echosmith",Bright
1029NOW,2015-04-09 04:00:01 +0000 UTC," Hozier",Work Song
1029NOW,2015-04-09 04:00:01 +0000 UTC," Ellie Goulding",Love Me Like You Do
1029NOW,2015-04-09 04:10:01 +0000 UTC," Jason Derulo",Want To Want Me
1029NOW,2015-04-09 04:20:01 +0000 UTC," Kelly Clarkson",Heartbeat Song
1029NOW,2015-04-09 04:20:01 +0000 UTC," Taylor Swift",Style
1029NOW,2015-04-09 04:30:01 +0000 UTC," Staind",It's Been Awhile
1029NOW,2015-04-09 04:40:01 +0000 UTC," Panic! At The Disco",I Write Sins Not Tragedies
1029NOW,2015-04-09 05:00:01 +0000 UTC," Rachel Platten",Fight Song
1029NOW,2015-04-09 05:00:01 +0000 UTC," Madonna",Ghosttown
1029NOW,2015-04-09 05:10:01 +0000 UTC," Pitbull / Ne-Yo",Time Of Our Lives
1029NOW,2015-04-09 05:10:01 +0000 UTC," Lorde",Team
1029NOW,2015-04-09 05:20:01 +0000 UTC," Maroon 5",Sugar
1029NOW,2015-04-09 05:30:01 +0000 UTC," Jason Derulo",Want To Want Me
1029NOW,2015-04-09 05:40:01 +0000 UTC," Ellie Goulding",Love Me Like You Do
1029NOW,2015-04-09 05:40:01 +0000 UTC," Tove Lo",Habits {stay High}/
1029NOW,2015-04-09 05:50:01 +0000 UTC," Foster The People",Pumped Up Kicks
1029NOW,2015-04-09 05:50:01 +0000 UTC," Rachel Platten",Fight Song
1029NOW,2015-04-09 06:00:01 +0000 UTC," Ed Sheeran",Thinking Out Loud
1029NOW,2015-04-09 06:00:01 +0000 UTC," Weeknd",Earned It
1029NOW,2015-04-09 06:10:01 +0000 UTC," Coldplay",Paradise /
1029NOW,2015-04-09 06:10:01 +0000 UTC," Gnarls Barkley",Crazy
1029NOW,2015-04-09 06:10:01 +0000 UTC," Rob Thomas",Lonely No More
