station,timestamp,title,artist
Z1077,2015-05-09T04:10:01.000Z,Earned It,The Weeknd
Z1077,2015-05-09T04:20:01.000Z,Trampoline,Kalin & Myles
Z1077,2015-05-09T04:30:01.000Z,Shut Up And Dance,Walk The Moon
Z1077,2015-05-09T04:30:01.000Z,Style,Taylor Swift
Z1077,2015-05-09T04:30:01.000Z,Uptown Funk,Mark Ronson And Bruno Mars
Z1077,2015-05-09T04:30:01.000Z,Dear Future Husband,Meghan Trainor
Z1077,2015-05-09T04:30:01.000Z,Thinking Out Loud,Ed Sheeran
Z1077,2015-05-09T04:40:01.000Z,Beggin For Thread,Banks
Z1077,2015-05-09T04:40:01.000Z,Talking Body,Tove Lo
Z1077,2015-05-09T04:40:01.000Z,Love Me Like You Do,Ellie Goulding
Z1077,2015-05-09T04:50:01.000Z,Bang Bang,Jessie J / Ariana Grande / Nicki Minaj
Z1077,2015-05-09T04:50:01.000Z,Sugar,Maroon 5
Z1077,2015-05-09T05:00:01.000Z,I Need Your Love,Shaggy / Mohombi / Faydee / Costi
Z1077,2015-05-09T05:00:01.000Z,Stay With Me,Sam Smith
Z1077,2015-05-09T05:00:01.000Z,Gdfr,Flo Rida / Sage The Gemini
Z1077,2015-05-09T05:10:01.000Z,You Know You Like It,DJ Snake & AlunaGeorge
Z1077,2015-05-09T05:10:01.000Z,One Last Time,Ariana Grande
Z1077,2015-05-09T05:20:01.000Z,The Night Is Still Young,Nicki Minaj
Z1077,2015-05-09T05:20:01.000Z,Coming With You,Neyo
Z1077,2015-05-09T05:20:01.000Z,Take Me To Church,Hozier
Z1077,2015-05-09T05:30:02.000Z,I Write Sins Not Tragedies,Panic! At The Disco
Z1077,2015-05-09T05:30:02.000Z,Somebody,Natalie La Rose / Jeremih
Z1077,2015-05-09T05:30:02.000Z,Am I Wrong,Nico & Vinz
Z1077,2015-05-09T05:30:02.000Z,Want To Want Me,Jason Derulo
Z1077,2015-05-09T05:40:01.000Z,Hey Mama,David Guetta / Nicki Minaj / Afrojack
Z1077,2015-05-09T05:40:01.000Z,Love Me Like You Do,Ellie Goulding
Z1077,2015-05-09T05:50:01.000Z,Bright,Echosmith
Z1077,2015-05-09T05:50:01.000Z,Rude,Magic!
Z1077,2015-05-09T05:50:01.000Z,Viva La Vida,Coldplay
Z1077,2015-05-09T05:50:01.000Z,Fight Song,Rachel Platten
Z1077,2015-05-09T06:00:01.000Z,Viva La Vida,Coldplay
